heart_rate,motion
133,11.2176
133,11.2176
124,11.2176
124,11.2176
122,11.2176
146,11.2536
142,11.2536
139,11.2536
138,11.2536
137,11.2536
134,11.2536
134,11.2536
133,11.2536
130,11.2536
124,11.2536
146,11.286
145,11.286
144,11.286
141,11.286
141,11.286
141,11.286
138,11.286
137,11.286
136,11.286
136,11.286
136,11.286
134,11.286
133,11.286
133,11.286
132,11.286
130,11.286
128,11.286
125,11.286
123,11.286
110,11.286
145,11.3184
143,11.3184
142,11.3184
142,11.3184
134,11.3184
140,11.3544
140,11.3544
139,11.3544
136,11.3544
135,11.3544
135,11.3544
135,11.3544
131,11.3544
129,11.3544
128,11.3544
145,11.3868
141,11.3868
141,11.3868
139,11.3868
139,11.3868
138,11.3868
138,11.3868
137,11.3868
137,11.3868
136,11.3868
136,11.3868
133,11.3868
130,11.3868
129,11.3868
128,11.3868
127,11.3868
124,11.3868
124,11.3868
124,11.3868
123,11.3868
146,11.4192
145,11.4192
145,11.4192
143,11.4192
142,11.4192
131,11.4192
131,11.4192
131,11.4192
129,11.4192
129,11.4192
128,11.4192
128,11.4192
125,11.4192
125,11.4192
146,11.4552
146,11.4552
146,11.4552
145,11.4552
142,11.4552
141,11.4552
140,11.4552
139,11.4552
139,11.4552
136,11.4552
136,11.4552
135,11.4552
135,11.4552
135,11.4552
135,11.4552
132,11.4552
132,11.4552
132,11.4552
130,11.4552
124,11.4552
124,11.4552
122,11.4552
118,11.4552
109,11.4552
145,11.4876
144,11.4876
143,11.4876
142,11.4876
142,11.4876
142,11.4876
142,11.4876
141,11.4876
140,11.4876
140,11.4876
139,11.4876
137,11.4876
136,11.4876
136,11.4876
136,11.4876
134,11.4876
134,11.4876
134,11.4876
133,11.4876
132,11.4876
131,11.4876
130,11.4876
129,11.4876
128,11.4876
125,11.4876
125,11.4876
124,11.4876
105,11.4876
146,11.52
145,11.52
145,11.52
145,11.52
145,11.52
144,11.52
144,11.52
143,11.52
141,11.52
140,11.52
139,11.52
139,11.52
139,11.52
138,11.52
138,11.52
136,11.52
136,11.52
136,11.52
135,11.52
135,11.52
134,11.52
134,11.52
134,11.52
132,11.52
131,11.52
130,11.52
130,11.52
130,11.52
127,11.52
127,11.52
124,11.52
119,11.52
145,11.556
143,11.556
142,11.556
142,11.556
141,11.556
141,11.556
140,11.556
139,11.556
139,11.556
139,11.556
138,11.556
137,11.556
136,11.556
136,11.556
132,11.556
130,11.556
130,11.556
130,11.556
128,11.556
128,11.556
125,11.556
145,11.5884
145,11.5884
145,11.5884
144,11.5884
144,11.5884
143,11.5884
143,11.5884
142,11.5884
141,11.5884
141,11.5884
140,11.5884
138,11.5884
138,11.5884
137,11.5884
136,11.5884
136,11.5884
133,11.5884
132,11.5884
130,11.5884
130,11.5884
127,11.5884
126,11.5884
125,11.5884
125,11.5884
123,11.5884
146,11.6208
145,11.6208
145,11.6208
142,11.6208
142,11.6208
139,11.6208
139,11.6208
138,11.6208
137,11.6208
136,11.6208
136,11.6208
136,11.6208
132,11.6208
131,11.6208
129,11.6208
128,11.6208
127,11.6208
126,11.6208
124,11.6208
123,11.6208
121,11.6208
146,11.6568
145,11.6568
145,11.6568
143,11.6568
142,11.6568
139,11.6568
139,11.6568
139,11.6568
138,11.6568
138,11.6568
136,11.6568
136,11.6568
135,11.6568
134,11.6568
133,11.6568
133,11.6568
133,11.6568
133,11.6568
131,11.6568
130,11.6568
129,11.6568
129,11.6568
126,11.6568
112,11.6568
145,11.6892
145,11.6892
144,11.6892
144,11.6892
142,11.6892
142,11.6892
142,11.6892
141,11.6892
141,11.6892
140,11.6892
140,11.6892
140,11.6892
139,11.6892
138,11.6892
137,11.6892
136,11.6892
136,11.6892
